gene	table_s1_protein	raw_protein_group	table_s1_log2fc_5uM_39h	raw_log2_delta	table_s1_direction	raw_direction	direction_agreement	raw_bde_detected	raw_vehicle_detected	raw_rank_by_delta_desc	table_s1_rank_by_delta_desc	raw_percentile_by_delta	table_s1_percentile_by_delta
AP5B1	AP5B1_HUMAN	Q2VPB7	-0.501869	-1.110237	decrease	decrease	TRUE	3	2	1292	1149	0.003089	0.113514
APEX1	APEX1_HUMAN	P27695	0.181849	-0.425548	increase	decrease	FALSE	3	4	1192	497	0.080309	0.616988
API5	API5_HUMAN	Q9BZZ5	0.269733	-0.272966	increase	decrease	FALSE	3	4	1079	417	0.167568	0.678764
APMAP	APMAP_HUMAN	Q9HDC9	-0.067729	-0.115019	decrease	decrease	TRUE	3	4	874	785	0.325869	0.394595
APOBR	APOBR_HUMAN	Q0VD83	0.292546	0.029139	increase	increase	TRUE	3	4	552	397	0.574517	0.694208
APOE	APOE_HUMAN	P02649	-0.934004	-0.468807	decrease	decrease	TRUE	3	4	1207	1249	0.068726	0.036293
APOL2	APOL2_HUMAN	Q9BQE5	0.798787	0.047589	increase	increase	TRUE	3	4	506	120	0.610039	0.908108
ARAF	ARAF_HUMAN	P10398	0.238799	-0.129443	increase	decrease	FALSE	2	2	904	444	0.302703	0.657915
ARF1	ARF1_HUMAN	P61204;P84077	-0.091987	-0.354387	decrease	decrease	TRUE	3	4	1154	812	0.109653	0.373745
ARF4	ARF4_HUMAN	P18085;P84085	-0.036201	-0.020405	decrease	decrease	TRUE	3	4	664	753	0.488031	0.419305
ARF5	ARF5_HUMAN	P84085	0.258244	-0.335580	increase	decrease	FALSE	3	4	1137	425	0.122780	0.672587
ARF6	ARF6_HUMAN	P62330	0.160841	-0.013007	increase	decrease	FALSE	3	4	640	519	0.506564	0.600000
ARL1	ARL1_HUMAN	P40616	0.374749	-0.055408	increase	decrease	FALSE	3	4	752	323	0.420077	0.751351
ARL3	ARL3_HUMAN	P36405	-0.266351	0.235127	decrease	increase	FALSE	3	4	214	997	0.835521	0.230888
ARL8B	ARL8B_HUMAN	Q9NVJ2	-0.380468	-0.182610	decrease	decrease	TRUE	3	4	989	1077	0.237066	0.169112
ARMC1	ARMC1_HUMAN	Q9NVT9	-1.127200	-0.230867	decrease	decrease	TRUE	3	4	1038	1263	0.199228	0.025483
ARPC2	ARPC2_HUMAN	O15144	-0.236684	-0.140874	decrease	decrease	TRUE	3	4	914	974	0.294981	0.248649
ARPC3	ARPC3_HUMAN	O15145	0.175627	0.208147	increase	increase	TRUE	3	4	242	501	0.813900	0.613900
ARPC4	ARPC4_HUMAN	P59998	0.241051	-0.085425	increase	decrease	FALSE	3	4	820	443	0.367568	0.658687
ARPC5	ARPC5_HUMAN	O15511	-0.268207	-0.439767	decrease	decrease	TRUE	3	4	1196	1001	0.077220	0.227799
ARRB1	ARRB1_HUMAN	P49407	1.044256	-0.161130	increase	decrease	FALSE	3	4	954	67	0.264093	0.949035
ARSA	ARSA_HUMAN	P15289	-0.491751	0.009966	decrease	increase	FALSE	3	4	592	1144	0.543629	0.117375
ARSB	ARSB_HUMAN	P15848	0.631937	-0.020175	increase	decrease	FALSE	3	4	662	177	0.489575	0.864093
ASAH1	ASAH1_HUMAN	Q13510	-0.827825	-0.158834	decrease	decrease	TRUE	3	4	952	1233	0.265637	0.048649
ASAP3	ASAP3_HUMAN	Q8TDY4	0.014204	-0.036723	increase	decrease	FALSE	3	4	706	686	0.455598	0.471042
ASCC3	ASCC3_HUMAN	Q8N3C0	0.421855	-0.059168	increase	decrease	FALSE	3	4	764	284	0.410811	0.781467
ASNS	ASNS_HUMAN	P08243	0.811372	0.376217	increase	increase	TRUE	3	4	104	115	0.920463	0.911969
ASPH	ASPH_HUMAN	Q12797	-0.005620	-0.039724	decrease	decrease	TRUE	3	4	713	708	0.450193	0.454054
ATG3	ATG3_HUMAN	Q9NT62	-0.864899	-0.348701	decrease	decrease	TRUE	3	4	1147	1243	0.115058	0.040927
ATG5	ATG5_HUMAN	Q9H1Y0	-0.322785	-0.355532	decrease	decrease	TRUE	3	4	1155	1034	0.108880	0.202317
ATG7	ATG7_HUMAN	O95352	0.814305	-0.250551	increase	decrease	FALSE	3	4	1059	114	0.183012	0.912741
ATG9A	ATG9A_HUMAN	Q7Z3C6	-0.464790	0.873058	decrease	increase	FALSE	3	3	20	1134	0.985328	0.125097
