gene	table_s1_protein	raw_protein_group	table_s1_log2fc_5uM_39h	raw_log2_delta	table_s1_direction	raw_direction	direction_agreement	raw_bde_detected	raw_vehicle_detected	raw_rank_by_delta_desc	table_s1_rank_by_delta_desc	raw_percentile_by_delta	table_s1_percentile_by_delta
OAS3	OAS3_HUMAN	Q9Y6K5	-0.145080	0.034035	decrease	increase	FALSE	3	4	538	879	0.585328	0.322008
OAT	OAT_HUMAN	P04181	0.921496	0.039233	increase	increase	TRUE	3	4	526	89	0.594595	0.932046
OCC1	OCC1_HUMAN	Q8TAD7	-0.111612	-0.265667	decrease	decrease	TRUE	2	3	1074	832	0.171429	0.358301
ODR4	ODR4_HUMAN	Q5SWX8	0.355716	-0.554590	increase	decrease	FALSE	2	4	1233	341	0.048649	0.737452
OGFR	OGFR_HUMAN	Q9NZT2	0.827261	-0.099985	increase	decrease	FALSE	3	4	848	112	0.345946	0.914286
OLA1	OLA1_HUMAN	Q9NTK5	0.528110	0.338446	increase	increase	TRUE	3	4	121	223	0.907336	0.828571
OPA1	OPA1_HUMAN	O60313	-0.030461	-0.009609	decrease	decrease	TRUE	3	4	634	744	0.511197	0.426255
OPA3	OPA3_HUMAN	Q9H6K4	0.523207	0.128908	increase	increase	TRUE	2	4	368	227	0.716602	0.825483
OPTN	OPTN_HUMAN	Q96CV9	-0.449113	-0.374439	decrease	decrease	TRUE	3	4	1164	1127	0.101931	0.130502
OS9	OS9_HUMAN	Q13438	-0.061152	-0.064240	decrease	decrease	TRUE	3	4	774	778	0.403089	0.400000
OSTC	OSTC_HUMAN	Q9NRP0	0.421587	-0.274899	increase	decrease	FALSE	3	2	1082	285	0.165251	0.780695
OSTF1	OSTF1_HUMAN	Q92882	0.124427	-0.102619	increase	decrease	FALSE	3	4	853	567	0.342085	0.562934
OTUB1	OTUB1_HUMAN	Q96FW1	-0.295653	-0.693176	decrease	decrease	TRUE	3	4	1263	1019	0.025483	0.213900
OTUD4	OTUD4_HUMAN	Q01804	-0.426021	-0.009717	decrease	decrease	TRUE	3	4	635	1115	0.510425	0.139768
OVCA2	OVCA2_HUMAN	Q8WZ82	0.146402	-0.923442	increase	decrease	FALSE	1	2	1286	538	0.007722	0.585328
OXR1	OXR1_HUMAN	Q8N573	-1.129485	-0.009797	decrease	decrease	TRUE	1	1	636	1264	0.509653	0.024710
OXSM	OXSM_HUMAN	Q9NWU1	0.019091	-0.315559	increase	decrease	FALSE	2	4	1119	679	0.136680	0.476448
OXSR1	OXSR1_HUMAN	O95747	-0.128696	-0.412332	decrease	decrease	TRUE	3	4	1186	854	0.084942	0.341313
P2RX4	P2RX4_HUMAN	Q99571	-0.465408	0.143872	decrease	increase	FALSE	3	4	340	1135	0.738224	0.124324
P3H1	P3H1_HUMAN	Q32P28	0.092087	0.153449	increase	increase	TRUE	3	4	321	602	0.752896	0.535907
P4HA1	P4HA1_HUMAN	P13674	-0.009978	0.164474	decrease	increase	FALSE	3	4	295	714	0.772973	0.449421
P4HA2	P4HA2_HUMAN	O15460	0.278975	0.047635	increase	increase	TRUE	3	4	505	407	0.610811	0.686486
PA2G4	PA2G4_HUMAN	Q9UQ80	0.051395	-0.110798	increase	decrease	FALSE	3	4	869	647	0.329730	0.501158
PAGE4	PAGE4_HUMAN	O60829	-0.006913	0.732461	decrease	increase	FALSE	2	3	33	710	0.975290	0.452510
PAK1	PAK1_HUMAN	Q13153;Q13177	0.089041	-0.090891	increase	decrease	FALSE	3	4	828	606	0.361390	0.532819
PAK2	PAK2_HUMAN	Q13177	0.107998	0.021890	increase	increase	TRUE	3	4	571	583	0.559846	0.550579
PALLD	PALLD_HUMAN	Q8WX93	0.025311	-0.051215	increase	decrease	FALSE	3	4	740	674	0.429344	0.480309
PARK7	PARK7_HUMAN	Q99497	-0.273408	-0.079116	decrease	decrease	TRUE	3	4	809	1002	0.376062	0.227027
PARP1	PARP1_HUMAN	P09874	-0.374955	0.279065	decrease	increase	FALSE	3	4	165	1072	0.873359	0.172973
PARP4	PARP4_HUMAN	Q9UKK3	0.448776	-0.356157	increase	decrease	FALSE	3	4	1156	265	0.108108	0.796139
PARP9	PARP9_HUMAN	Q8IXQ6	1.249114	0.080422	increase	increase	TRUE	3	4	438	39	0.662548	0.970656
PARVA	PARVA_HUMAN	Q9NVD7	-0.039958	-0.145012	decrease	decrease	TRUE	3	4	926	755	0.285714	0.417761
PAWR	PAWR_HUMAN	Q96IZ0	-0.406237	0.318355	decrease	increase	FALSE	3	3	138	1103	0.894208	0.149035
PAXX	PAXX_HUMAN	Q9BUH6	-0.254763	0.110550	decrease	increase	FALSE	3	4	395	985	0.695753	0.240154
PCBP1	PCBP1_HUMAN	Q15365	0.007633	0.224376	increase	increase	TRUE	3	4	223	693	0.828571	0.465637
PCBP2	PCBP2_HUMAN	Q15366	0.169586	0.226662	increase	increase	TRUE	3	4	221	508	0.830116	0.608494
PCCA	PCCA_HUMAN	P05165	0.551660	-0.000052	increase	decrease	FALSE	3	4	611	214	0.528958	0.835521
PCCB	PCCB_HUMAN	P05166	0.379789	-0.081768	increase	decrease	FALSE	3	4	812	318	0.373745	0.755212
PCNA	PCNA_HUMAN	P12004	-0.123131	-0.004758	decrease	decrease	TRUE	3	4	627	847	0.516602	0.346718
PCNP	PCNP_HUMAN	Q8WW12	0.183828	0.254159	increase	increase	TRUE	3	4	189	495	0.854826	0.618533
PDCD4	PDCD4_HUMAN	Q53EL6	0.564315	0.598027	increase	increase	TRUE	3	4	46	203	0.965251	0.844015
PDCD5	PDCD5_HUMAN	O14737	0.301198	0.071001	increase	increase	TRUE	3	4	449	390	0.654054	0.699614
PDCD6	PDCD6_HUMAN	O75340	0.872895	0.358915	increase	increase	TRUE	3	4	110	103	0.915830	0.921236
PDE12	PDE12_HUMAN	Q6L8Q7	-0.063542	0.209275	decrease	increase	FALSE	3	4	240	780	0.815444	0.398456
PDIA3	PDIA3_HUMAN	P30101	-0.138663	-0.037448	decrease	decrease	TRUE	3	4	708	868	0.454054	0.330502
PDIA4	PDIA4_HUMAN	P13667	-0.228971	-0.155138	decrease	decrease	TRUE	3	4	943	969	0.272587	0.252510
PDIA5	PDIA5_HUMAN	Q14554	0.068292	-0.104108	increase	decrease	FALSE	3	4	856	632	0.339768	0.512741
PDIA6	PDIA6_HUMAN	Q15084	-0.281683	-0.143273	decrease	decrease	TRUE	3	4	920	1010	0.290347	0.220849
PDK3	PDK3_HUMAN	Q15120	0.071851	0.090621	increase	increase	TRUE	3	4	417	627	0.678764	0.516602
PDP1	PDP1_HUMAN	Q9P0J1	0.236729	0.156719	increase	increase	TRUE	3	4	307	447	0.763707	0.655598
PDPR	PDPR_HUMAN	Q8NCN5	0.255548	-0.211556	increase	decrease	FALSE	3	4	1021	427	0.212355	0.671042
PDS5A	PDS5A_HUMAN	Q29RF7	0.580401	-0.101393	increase	decrease	FALSE	3	4	850	192	0.344402	0.852510
PDS5B	PDS5B_HUMAN	Q9NTI5	0.364019	-0.363207	increase	decrease	FALSE	3	4	1159	331	0.105792	0.745174
PDXK	PDXK_HUMAN	O00764	0.167277	-0.071604	increase	decrease	FALSE	3	4	789	512	0.391506	0.605405
PEA15	PEA15_HUMAN	Q15121	0.395804	-0.064142	increase	decrease	FALSE	3	4	773	304	0.403861	0.766023
PEBP1	PEBP1_HUMAN	P30086	-0.362934	-0.222664	decrease	decrease	TRUE	3	4	1033	1059	0.203089	0.183012
PEF1	PEF1_HUMAN	Q9UBV8	0.553304	0.586809	increase	increase	TRUE	3	4	51	213	0.961390	0.836293
PEG10	PEG10_HUMAN	Q86TG7	-0.212387	0.156232	decrease	increase	FALSE	1	1	308	951	0.762934	0.266409
PELO	PELO_HUMAN	Q9BRX2	-1.085976	0.067084	decrease	increase	FALSE	3	4	457	1260	0.647876	0.027799
PELP1	PELP1_HUMAN	Q8IZL8	-0.258700	0.030397	decrease	increase	FALSE	3	4	548	991	0.577606	0.235521
PEPD	PEPD_HUMAN	P12955	-0.165237	0.074065	decrease	increase	FALSE	3	4	447	901	0.655598	0.305019
PEX19	PEX19_HUMAN	P40855	-0.641975	-0.202560	decrease	decrease	TRUE	2	4	1013	1202	0.218533	0.072587
PGAM1	PGAM1_HUMAN	P18669	0.208120	0.184979	increase	increase	TRUE	3	4	267	478	0.794595	0.631660
PGK1	PGK1_HUMAN	P00558	0.039052	-0.078914	increase	decrease	FALSE	3	4	808	660	0.376834	0.491120
PGM1	PGM1_HUMAN	P36871	-0.031273	0.020024	decrease	increase	FALSE	3	4	576	745	0.555985	0.425483
PGM2	PGM2_HUMAN	Q96G03	0.195363	-0.162686	increase	decrease	FALSE	3	4	961	487	0.258687	0.624710
PGP	PGP_HUMAN	A6NDG6	0.213312	-0.057462	increase	decrease	FALSE	3	4	757	467	0.416216	0.640154
PHB2	PHB2_HUMAN	Q99623	0.423552	0.182367	increase	increase	TRUE	3	4	271	283	0.791506	0.782239
PHKG2	PHKG2_HUMAN	P15735	0.388566	-0.116876	increase	decrease	FALSE	3	4	877	312	0.323552	0.759846
PI4KA	PI4KA_HUMAN	P42356	-0.340677	-0.057082	decrease	decrease	TRUE	3	4	755	1048	0.417761	0.191506
PIGS	PIGS_HUMAN	Q96S52	-0.074046	-0.064041	decrease	decrease	TRUE	3	4	772	794	0.404633	0.387645
PIGT	PIGT_HUMAN	Q969N2	0.134543	0.276871	increase	increase	TRUE	2	1	169	550	0.870270	0.576062
PIGU	PIGU_HUMAN	Q9H490	0.805869	0.020960	increase	increase	TRUE	3	4	572	117	0.559073	0.910425
PIN1	PIN1_HUMAN	Q13526	-0.102381	-0.110267	decrease	decrease	TRUE	2	1	868	820	0.330502	0.367568
PKN1	PKN1_HUMAN	Q16512	2.336153	0.441268	increase	increase	TRUE	3	4	80	8	0.938996	0.994595
PKN2	PKN2_HUMAN	Q16513	0.517818	0.028458	increase	increase	TRUE	3	4	555	231	0.572201	0.822394
PKP2	PKP2_HUMAN	Q99959	0.244695	0.392886	increase	increase	TRUE	3	4	99	436	0.924324	0.664093
PKP3	PKP3_HUMAN	Q9Y446	-0.014646	0.045371	decrease	increase	FALSE	3	4	514	723	0.603861	0.442471
PLCD3	PLCD3_HUMAN	Q8N3E9	1.110706	-0.747743	increase	decrease	FALSE	3	4	1274	54	0.016988	0.959073
PLCL2	PLCL2_HUMAN	Q9UPR0	-0.146957	-0.047067	decrease	decrease	TRUE	2	4	727	885	0.439382	0.317375
PLD3	PLD3_HUMAN	Q8IV08	-0.278400	-0.189147	decrease	decrease	TRUE	3	4	1001	1007	0.227799	0.223166
PLEC	PLEC_HUMAN	Q15149	0.242707	-0.003844	increase	decrease	FALSE	3	4	624	437	0.518919	0.663320
PLEK	PLEK_HUMAN	P08567	0.749402	-1.382128	increase	decrease	FALSE	2	1	1293	138	0.002317	0.894208
PLIN2	PLIN2_HUMAN	Q99541	-0.090827	-0.618493	decrease	decrease	TRUE	3	3	1251	811	0.034749	0.374517
PLIN3	PLIN3_HUMAN	O60664	-0.032541	-0.165451	decrease	decrease	TRUE	3	4	965	747	0.255598	0.423938
PLOD1	PLOD1_HUMAN	Q02809	0.238783	0.251828	increase	increase	TRUE	3	4	192	445	0.852510	0.657143
PLOD2	PLOD2_HUMAN	O00469	0.080251	0.194114	increase	increase	TRUE	3	4	251	621	0.806950	0.521236
PLOD3	PLOD3_HUMAN	O60568	-0.063391	0.087032	decrease	increase	FALSE	3	4	426	779	0.671815	0.399228
PLPP3	PLPP3_HUMAN	O14495	0.358620	-0.348894	increase	decrease	FALSE	3	4	1148	339	0.114286	0.738996
PML	PML_HUMAN	P29590	-0.385344	-0.038446	decrease	decrease	TRUE	3	4	710	1078	0.452510	0.168340
PMM2	PMM2_HUMAN	O15305	-0.414010	0.127293	decrease	increase	FALSE	3	4	371	1110	0.714286	0.143629
PMVK	PMVK_HUMAN	Q15126	1.547584	-0.519966	increase	decrease	FALSE	3	3	1225	23	0.054826	0.983012
PNKD	PNKD_HUMAN	Q8N490	-0.010623	0.031928	decrease	increase	FALSE	1	4	544	717	0.580695	0.447104
PNPT1	PNPT1_HUMAN	Q8TCS8	1.393966	-0.166403	increase	decrease	FALSE	3	4	966	30	0.254826	0.977606
PON2	PON2_HUMAN	Q15165	-0.172701	0.314621	decrease	increase	FALSE	3	4	141	908	0.891892	0.299614
PPCS	PPCS_HUMAN	Q9HAB8	-0.049618	-0.004620	decrease	decrease	TRUE	3	4	626	763	0.517375	0.411583
PPIA	PPIA_HUMAN	P62937	0.577598	0.499077	increase	increase	TRUE	3	4	64	193	0.951351	0.851737
PPIB	PPIB_HUMAN	P23284	0.200506	0.186868	increase	increase	TRUE	3	4	264	485	0.796911	0.626255
PPIC	PPIC_HUMAN	P45877	0.464177	0.241574	increase	increase	TRUE	3	4	204	258	0.843243	0.801544
PPIF	PPIF_HUMAN	P30405	-0.276650	0.329739	decrease	increase	FALSE	3	4	129	1004	0.901158	0.225483
PPIH	PPIH_HUMAN	O43447	1.042332	0.359308	increase	increase	TRUE	3	4	109	68	0.916602	0.948263
PPIL1	PPIL1_HUMAN	Q9Y3C6	0.172081	0.153850	increase	increase	TRUE	3	4	316	506	0.756757	0.610039
PPIL3	PPIL3_HUMAN	Q9H2H8	-0.227485	-0.264414	decrease	decrease	TRUE	3	4	1072	966	0.172973	0.254826
PPM1A	PPM1A_HUMAN	P35813	-1.816390	0.241416	decrease	increase	FALSE	3	4	205	1292	0.842471	0.003089
PPM1F	PPM1F_HUMAN	P49593	0.167437	-0.015396	increase	decrease	FALSE	3	4	644	511	0.503475	0.606178
PPM1G	PPM1G_HUMAN	O15355	-0.849239	0.246138	decrease	increase	FALSE	3	4	200	1237	0.846332	0.045560
PPME1	PPME1_HUMAN	Q9Y570	0.025563	0.171937	increase	increase	TRUE	3	4	287	673	0.779151	0.481081
PPOX	PPOX_HUMAN	P50336	-0.017519	0.443320	decrease	increase	FALSE	2	4	78	727	0.940541	0.439382
PPT1	PPT1_HUMAN	P50897	-0.211171	0.921908	decrease	increase	FALSE	2	3	14	949	0.989961	0.267954
PRAF2	PRAF2_HUMAN	O60831	0.152543	0.229620	increase	increase	TRUE	3	4	218	534	0.832432	0.588417
PRDX1	PRDX1_HUMAN	P32119;Q06830	-0.530331	0.049302	decrease	increase	FALSE	3	4	501	1162	0.613900	0.103475
PRDX2	PRDX2_HUMAN	P32119	0.339563	-0.020102	increase	decrease	FALSE	3	4	661	362	0.490347	0.721236
PRDX3	PRDX3_HUMAN	P30048	0.380657	-0.013792	increase	decrease	FALSE	3	4	642	317	0.505019	0.755985
PRDX4	PRDX4_HUMAN	Q13162	-0.247932	-0.073219	decrease	decrease	TRUE	3	4	791	982	0.389961	0.242471
PRDX5	PRDX5_HUMAN	P30044	-0.084115	-0.252910	decrease	decrease	TRUE	3	4	1064	803	0.179151	0.380695
PRDX6	PRDX6_HUMAN	P30041	-0.172947	-0.144683	decrease	decrease	TRUE	3	4	925	909	0.286486	0.298842
PREB	PREB_HUMAN	Q9HCU5	0.395167	-0.090494	increase	decrease	FALSE	3	4	827	305	0.362162	0.765251
PREP	PREP_HUMAN	P48147	-0.103959	-0.049395	decrease	decrease	TRUE	3	4	734	822	0.433977	0.366023
PRG2	PRG2_HUMAN	P13727	-0.060078	0.119758	decrease	increase	FALSE	3	4	381	775	0.706564	0.402317
PRKDC	PRKDC_HUMAN	P78527	-0.161718	-0.005672	decrease	decrease	TRUE	3	4	630	895	0.514286	0.309653
PRKRA	PRKRA_HUMAN	O75569	0.159061	0.246651	increase	increase	TRUE	3	4	199	523	0.847104	0.596911
PRPF3	PRPF3_HUMAN	O43395	-0.530849	0.237678	decrease	increase	FALSE	3	4	212	1163	0.837066	0.102703
PRPS1	PRPS1_HUMAN	P60891	0.456533	-0.052512	increase	decrease	FALSE	3	2	744	262	0.426255	0.798456
PRRC1	PRRC1_HUMAN	Q96M27	0.486164	0.088405	increase	increase	TRUE	3	4	422	246	0.674903	0.810811
PRSS8	PRSS8_HUMAN	Q16651	0.989189	0.538541	increase	increase	TRUE	3	4	56	75	0.957529	0.942857
PSG3	PSG3_HUMAN	Q16557	0.184893	0.185530	increase	increase	TRUE	3	3	266	493	0.795367	0.620077
PSMD1	PSMD1_HUMAN	Q99460	0.097099	0.009172	increase	increase	TRUE	3	4	595	597	0.541313	0.539768
PSMD2	PSMD2_HUMAN	Q13200	0.136628	0.108307	increase	increase	TRUE	3	4	398	548	0.693436	0.577606
PSMD3	PSMD3_HUMAN	O43242	-0.023755	0.007314	decrease	increase	FALSE	3	4	597	733	0.539768	0.434749
PSMD4	PSMD4_HUMAN	P55036	-0.309862	-0.087402	decrease	decrease	TRUE	3	4	822	1029	0.366023	0.206178
PSMD5	PSMD5_HUMAN	Q16401	0.007814	-0.045774	increase	decrease	FALSE	3	4	724	692	0.441699	0.466409
PSMD6	PSMD6_HUMAN	Q15008	0.100144	-0.343306	increase	decrease	FALSE	3	4	1143	593	0.118147	0.542857
PSMD7	PSMD7_HUMAN	P51665	-0.210611	-0.025168	decrease	decrease	TRUE	3	4	674	948	0.480309	0.268726
PSMD8	PSMD8_HUMAN	P48556	-0.227885	0.200425	decrease	increase	FALSE	3	4	247	967	0.810039	0.254054
PSMD9	PSMD9_HUMAN	O00233	-0.255308	-0.138020	decrease	decrease	TRUE	3	4	911	986	0.297297	0.239382
PSME1	PSME1_HUMAN	Q06323	-0.145701	-0.625608	decrease	decrease	TRUE	3	4	1253	881	0.033205	0.320463
PSME2	PSME2_HUMAN	Q9UL46	0.404775	-0.243799	increase	decrease	FALSE	3	4	1050	295	0.189961	0.772973
PSME3	PSME3_HUMAN	P61289	0.330784	-0.063964	increase	decrease	FALSE	3	4	771	369	0.405405	0.715830
PSME4	PSME4_HUMAN	Q14997	-1.130976	-0.178153	decrease	decrease	TRUE	3	4	981	1266	0.243243	0.023166
PSMF1	PSMF1_HUMAN	Q92530	-0.070518	-0.052637	decrease	decrease	TRUE	3	4	746	787	0.424710	0.393050
PSMG1	PSMG1_HUMAN	O95456	0.427637	0.284024	increase	increase	TRUE	3	4	160	280	0.877220	0.784556
PSPC1	PSPC1_HUMAN	Q8WXF1	0.034544	0.131982	increase	increase	TRUE	3	4	366	663	0.718147	0.488803
PTBP1	PTBP1_HUMAN	P26599	0.410100	0.405809	increase	increase	TRUE	3	4	94	289	0.928185	0.777606
PTBP3	PTBP3_HUMAN	O95758	-0.431797	-0.570669	decrease	decrease	TRUE	3	4	1238	1118	0.044788	0.137452
PTER	PTER_HUMAN	Q96BW5	0.098976	-0.155385	increase	decrease	FALSE	3	4	944	595	0.271815	0.541313
PTGES	PTGES_HUMAN	O14684	0.092050	0.063742	increase	increase	TRUE	3	4	470	603	0.637838	0.535135
PTGR1	PTGR1_HUMAN	Q14914	-0.730347	-0.184942	decrease	decrease	TRUE	3	4	993	1217	0.233977	0.061004
PTMA	PTMA_HUMAN	P06454	-0.051242	-0.009026	decrease	decrease	TRUE	3	4	632	764	0.512741	0.410811
PTMS	PTMS_HUMAN	P20962	0.367011	0.177596	increase	increase	TRUE	3	4	278	329	0.786100	0.746718
PTPA	PTPA_HUMAN	Q15257	-0.086571	-0.263915	decrease	decrease	TRUE	3	4	1071	806	0.173745	0.378378
PTPRC	PTPRC_HUMAN	P08575	-0.707679	-0.344536	decrease	decrease	TRUE	2	3	1144	1213	0.117375	0.064093
PTPRF	PTPRF_HUMAN	P10586	0.141667	-0.027425	increase	decrease	FALSE	3	4	678	542	0.477220	0.582239
PUF60	PUF60_HUMAN	Q9UHX1	0.406375	-0.078171	increase	decrease	FALSE	3	4	805	293	0.379151	0.774517
PURA	PURA_HUMAN	Q00577	0.248926	0.335896	increase	increase	TRUE	3	4	123	431	0.905792	0.667954
PURB	PURB_HUMAN	Q96QR8	0.144308	-0.091987	increase	decrease	FALSE	3	4	834	540	0.356757	0.583784
PVR	PVR_HUMAN	P15151	0.351072	0.259831	increase	increase	TRUE	3	4	184	345	0.858687	0.734363
PYGB	PYGB_HUMAN	P06737;P11216;P11217	-0.108246	0.064476	decrease	increase	FALSE	3	4	465	826	0.641699	0.362934
PYGL	PYGL_HUMAN	P06737	0.469830	0.051952	increase	increase	TRUE	3	4	498	251	0.616216	0.806950
PYM1	PYM1_HUMAN	Q9BRP8	-0.301831	0.062108	decrease	increase	FALSE	3	4	477	1023	0.632432	0.210811
QKI	QKI_HUMAN	Q96PU8	0.274367	0.056888	increase	increase	TRUE	3	4	487	413	0.624710	0.681853
QSOX1	QSOX1_HUMAN	O00391	2.374631	0.155667	increase	increase	TRUE	3	4	310	6	0.761390	0.996139
RAB10	RAB10_HUMAN	P51153;P59190;P61006;P61026;P62820;Q92930;Q9H0U4	0.459164	0.017064	increase	increase	TRUE	3	4	580	261	0.552896	0.799228
RAB12	RAB12_HUMAN	Q6IQ22	-0.444551	-0.061880	decrease	decrease	TRUE	1	3	768	1125	0.407722	0.132046
RAB14	RAB14_HUMAN	P61106	0.014302	-0.058858	increase	decrease	FALSE	3	4	761	685	0.413127	0.471815
RAB18	RAB18_HUMAN	Q9NP72	-0.213784	-0.061005	decrease	decrease	TRUE	3	4	767	953	0.408494	0.264865
RAB1A	RAB1A_HUMAN	P62820;Q9H0U4	1.219876	-0.046624	increase	decrease	FALSE	3	4	726	44	0.440154	0.966795
RAB21	RAB21_HUMAN	Q9UL25	-0.185446	-0.141729	decrease	decrease	TRUE	3	4	915	920	0.294208	0.290347
RAB24	RAB24_HUMAN	Q969Q5	0.751863	0.024290	increase	increase	TRUE	3	4	565	136	0.564479	0.895753
RAB2A	RAB2A_HUMAN	P61019;Q8WUD1	-0.133232	0.032324	decrease	increase	FALSE	3	4	541	859	0.583012	0.337452
RAB31	RAB31_HUMAN	Q13636	-1.263368	-0.202122	decrease	decrease	TRUE	3	4	1012	1274	0.219305	0.016988
RAB35	RAB35_HUMAN	Q15286	0.194102	0.189866	increase	increase	TRUE	3	4	257	489	0.802317	0.623166
RAB4B	RAB4B_HUMAN	P61018	-0.620150	-0.132755	decrease	decrease	TRUE	3	4	906	1198	0.301158	0.075676
RAB5A	RAB5A_HUMAN	P20339;P51148;P61020	0.428743	-0.322663	increase	decrease	FALSE	3	4	1126	278	0.131274	0.786100
RAB5B	RAB5B_HUMAN	P61020	-0.014415	0.322753	decrease	increase	FALSE	3	4	134	722	0.897297	0.443243
RAB5C	RAB5C_HUMAN	P51148	0.038141	0.133675	increase	increase	TRUE	3	4	363	661	0.720463	0.490347
RAB6A	RAB6A_HUMAN	P20340;Q9NRW1	0.049585	-0.064346	increase	decrease	FALSE	3	4	775	650	0.402317	0.498842
RAB7A	RAB7A_HUMAN	P51149	-0.003832	-0.094232	decrease	decrease	TRUE	3	4	839	706	0.352896	0.455598
RAB8A	RAB8A_HUMAN	P61006;Q92930	0.666306	0.036843	increase	increase	TRUE	2	3	532	160	0.589961	0.877220
RAB8B	RAB8B_HUMAN	Q92930	0.326952	0.140150	increase	increase	TRUE	3	4	348	372	0.732046	0.713514
RABL3	RABL3_HUMAN	Q5HYI8	0.248512	-0.026903	increase	decrease	FALSE	2	4	677	432	0.477992	0.667181
RABL6	RABL6_HUMAN	Q3YEC7	0.565770	0.121779	increase	increase	TRUE	3	4	378	202	0.708880	0.844788
RAC1	RAC1_HUMAN	P15153;P60763;P63000	-0.003752	-0.378072	decrease	decrease	TRUE	3	4	1167	705	0.099614	0.456371
RAC2	RAC2_HUMAN	P15153	0.987979	-0.309112	increase	decrease	FALSE	3	4	1115	76	0.139768	0.942085
RACK1	RACK1_HUMAN	P63244	-0.073857	0.005638	decrease	increase	FALSE	3	4	599	793	0.538224	0.388417
RAD50	RAD50_HUMAN	Q92878	-0.552314	-0.023626	decrease	decrease	TRUE	3	4	671	1171	0.482625	0.096525
RAI14	RAI14_HUMAN	Q9P0K7	-0.027274	-0.114069	decrease	decrease	TRUE	3	4	871	738	0.328185	0.430888
RALA	RALA_HUMAN	P11233;P11234	0.044470	-0.189653	increase	decrease	FALSE	3	4	1003	655	0.226255	0.494981
RALB	RALB_HUMAN	P11234	0.636354	-0.174556	increase	decrease	FALSE	2	4	976	173	0.247104	0.867181
RALY	RALY_HUMAN	Q9UKM9	-0.390087	0.034925	decrease	increase	FALSE	3	4	536	1084	0.586873	0.163707
RAN	RAN_HUMAN	P62826	-0.337939	-0.237444	decrease	decrease	TRUE	3	4	1045	1047	0.193822	0.192278
RAP1B	RAP1B_HUMAN	P61224	-0.229167	-0.336858	decrease	decrease	TRUE	3	4	1138	970	0.122008	0.251737
RAP2B	RAP2B_HUMAN	P61225;Q9Y3L5	0.648541	0.125185	increase	increase	TRUE	3	4	374	162	0.711969	0.875676
RAP2C	RAP2C_HUMAN	Q9Y3L5	0.752418	-0.450200	increase	decrease	FALSE	2	1	1202	135	0.072587	0.896525
RASA1	RASA1_HUMAN	P20936	0.053836	0.004635	increase	increase	TRUE	3	4	602	642	0.535907	0.505019
RBBP4	RBBP4_HUMAN	Q09028;Q16576	-0.411892	0.102947	decrease	increase	FALSE	3	4	404	1107	0.688803	0.145946
RBBP7	RBBP7_HUMAN	Q16576	-0.422905	0.037237	decrease	increase	FALSE	3	4	529	1114	0.592278	0.140541
RBM12	RBM12_HUMAN	Q9NTZ6	-0.421105	-0.074585	decrease	decrease	TRUE	3	4	797	1113	0.385328	0.141313
RBM14	RBM14_HUMAN	Q96PK6	-0.070679	-0.444487	decrease	decrease	TRUE	1	3	1198	788	0.075676	0.392278
RBM25	RBM25_HUMAN	P49756	0.473586	0.179098	increase	increase	TRUE	3	4	276	249	0.787645	0.808494
RBM39	RBM39_HUMAN	Q14498	0.617863	0.063556	increase	increase	TRUE	3	4	471	184	0.637066	0.858687
RBM4	RBM4_HUMAN	Q9BWF3	-0.212978	0.081309	decrease	increase	FALSE	3	4	436	952	0.664093	0.265637
RBP1	RBP1_HUMAN	P09455	0.107448	-0.341356	increase	decrease	FALSE	3	4	1142	584	0.118919	0.549807
RBPMS	RBPMS_HUMAN	Q93062	0.687977	0.205588	increase	increase	TRUE	3	4	243	152	0.813127	0.883398
RCC1	RCC1_HUMAN	P18754	-0.347863	-0.065031	decrease	decrease	TRUE	3	4	776	1051	0.401544	0.189189
RCC2	RCC2_HUMAN	Q9P258	-0.057965	-0.128372	decrease	decrease	TRUE	3	4	903	771	0.303475	0.405405
RCN1	RCN1_HUMAN	Q15293	0.200979	0.041084	increase	increase	TRUE	3	4	521	484	0.598456	0.627027
RCN2	RCN2_HUMAN	Q14257	0.017342	-0.348664	increase	decrease	FALSE	3	4	1146	682	0.115830	0.474131
RCN3	RCN3_HUMAN	Q96D15	0.293837	-0.134794	increase	decrease	FALSE	3	4	908	396	0.299614	0.694981
RCOR1	RCOR1_HUMAN	Q9UKL0	-0.033912	-0.158688	decrease	decrease	TRUE	3	4	950	749	0.267181	0.422394
RDH10	RDH10_HUMAN	Q8IZV5	0.848129	0.397714	increase	increase	TRUE	3	4	96	108	0.926641	0.917375
RDH11	RDH11_HUMAN	Q8TC12	-1.673650	-0.321027	decrease	decrease	TRUE	3	4	1124	1289	0.132819	0.005405
RDH13	RDH13_HUMAN	Q8NBN7	0.353381	0.101428	increase	increase	TRUE	2	4	409	343	0.684942	0.735907
RDH14	RDH14_HUMAN	Q9HBH5	0.618486	-0.610582	increase	decrease	FALSE	3	4	1249	182	0.036293	0.860232
REEP5	REEP5_HUMAN	Q00765	-0.368282	-0.154336	decrease	decrease	TRUE	3	4	942	1066	0.273359	0.177606
REL	REL_HUMAN	Q04864	-0.493836	0.879028	decrease	increase	FALSE	2	2	19	1145	0.986100	0.116602
RENBP	RENBP_HUMAN	P51606	-1.406928	-1.011317	decrease	decrease	TRUE	3	4	1291	1278	0.003861	0.013900
